"category","subCategory","name","brand","image","price","isFlexiblePackaging"
"J0101010104","Sin subcategoría","Aceite Vegetal Premium 900 ml","PRIMOR","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42757359_1/width=480,height=480,quality=70,format=webp,fit=pad","S/  11",false
"J0101020403","G11120402","Six Pack Trozos De Atún En Aceite x 140 g","TOTTUS","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43092552_1/width=480,height=480,quality=70,format=webp,fit=pad","S/  24.90",false
"J0101010203","Sin subcategoría","Arroz Extra Faraón de 5 Kg","FARAON","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41086701_1/width=480,height=480,quality=70,format=webp,fit=pad","S/  30",false
"J0101070102","Sin subcategoría","Azúcar Rubia 5 kg","TOTTUS","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40546554_1/width=480,height=480,quality=70,format=webp,fit=pad","S/  19.90",false
"J0101010203","G11070104","Arroz Extra Costeño 5 kg","COSTENO",,"S/  26.90",
"J0101010104","Sin subcategoría","Aceite Vegetal Clásico 900 ml","PRIMOR",,"S/  10",
"J0101080504","G11030605","Gelatina Fresa 130 g","UNIVERSAL",,"S/  4.30",
"J0101010203","G11070104","Arroz Extra Añejo Bolsa x 10 Kg","GRAN CHALAN",,"S/  42.50",
"J0101080504","Sin subcategoría","Gelatina Naranja Bolsa 160 g","ROYAL",,"S/  2.50",
"J0101010104","G11020101","Aceite de Soya 900 mL","PRECIO UNO",,"S/  5.80",
"J0101010801","Sin subcategoría","Fideos Spaghetti de 950 g","MOLITALIA",,"S/  5.20",
"J0101010802","G11030505","Sémola 200 g","MOLITALIA",,"S/  1",
"J0101010531","G11080201","Sazonador Ajinomix Pop Corn Mantequilla Caja x 6 Sobres","Sin Marca",,"S/  3.50",
"J0101010104","Sin subcategoría","Aceite de Girasol 900 mL","TOTTUS",,"S/  6.10",
"J0101080604","Sin subcategoría","Premezcla para Panqueques Caseros de 720 g","BLANCA FLOR",,"S/  9.29",
"J0101010707","G11030704","Pack de Menestras Tottus: 500 g de lentejas + 500 g de arvejas + 500 g de frijoles canarios","TOTTUS",,"S/  16.60",
"J0101010203","Sin subcategoría","Arroz Extra 5 kg","TOTTUS",,"S/  22.90",
"J0101011203","Sin subcategoría","Sopa Instantánea Ajinomen Sabor gallina 80 g","AJINOMOTO",,"S/  2",
"J0101010102","G11020101","Aceite de Oliva Puro 500 mL","EL OLIVAR",,"S/  33.50",
"J0101080304","G11030607","Crema de Avellanas 371g","NUTELLA",,"S/  39.90",
"J0101020403","G11120402","Trozos Atún en Aceite Vegetal y Sal 140g","FLORIDA",,"S/  5.80",
"J0602020102","Sin subcategoría","Keke de Plátano Rectangular","TOTTUS",,"S/  8.90",
"J0101010801","Sin subcategoría","Spaghetti 950 g","DON VITTORIO",,"S/  7",
"J0101010804","Sin subcategoría","Fideo Tornillo 250 g - Bolsa 250 gr","PRECIO UNO",,"S/  1.30",
"J0101010413","Sin subcategoría","Salsa Tare 300 g","ADELMI",,"S/  7.70",
"J0101080304","G11030607","Fugde Heladero DoyPack x 200 g","BAZO VELARDE",,"S/  3.90",
"J0101010502","G11080204","Laurel Entero 7 g","TOTTUS",,"S/  2.50",
"J0101020504","G11100301","Choclo Dulce Desgranado Lata 425 g","OLIVOS DEL SUR",,"S/  8.90",
"J0101011109","G11080305","SALSA BLANCA EN POLVO TOTTUSX 36 GR","TOTTUS",,"S/  2",
"J0101060405","G11140401","Display Chocolate Cookies and Creme Caja 36 Unidades x 43 g","HERSHEYS",,"S/  151.20",
"J0101010802","Sin subcategoría","Sémola 200 g","TOTTUS",,"S/  0.60",
"J0101010203","G11070104","Arroz Extra Costeño 750 g","COSTENO",,"S/  4.90",
"J0101070307","G11070202","Chocoriz Kids 380G","TOTTUS",,"S/  13.90",
"J0101010804","Sin subcategoría","Fideos Penne Rigate Premium de 500 g","TOTTUS",,"S/  5.40",
"J0101080304","Sin subcategoría","MANJARBLANCO X 500G","BONLE",,"S/  10.90",
"J0101010414","G11080310","Salsa Vinagreta Clásica Valle Fértil 370 g","VALLE FERTIL",,"S/  9.80",
"J0101010406","G11080310","Mostaza amarilla","TOTTUS",,"S/  9.90",
"J0101070805","Sin subcategoría","Mini Pingüinos Marinela - 10 unidades","BIMBO",,"S/  10.90",
"J0101080604","Sin subcategoría","Picarones Buñuelos 165 g","PROVENZAL",,"S/  11.50",
"J0101010802","G11030505","Fideos Spaghetti Libre de Gluten 400g","TOTTUS",,"S/  6.90",
"J0101010203","G11070104","Arroz Extra 750 g","PACASMAYO",,"S/  4.70",
"J0101011107","Sin subcategoría","Puré de Tomate Pomarola Concentrado 110 g","MOLITALIA",,"S/  1.80",
"J0101010502","G11080204","Orégano Pack 6 Unidades","SIBARITA",,"S/  1.10",
"J0101010104","Sin subcategoría","Aceite vegetal de 900 mL","TOTTUS",,"S/  6.10",
"J0101010405","G11080310","Mayonesa 475 g","ALACENA",,"S/  12.90",
"J0101060202","G11040401","Chocolate Kisses Cookies And Creme Empaque 102 g","HERSHEYS",,"S/  17.50",
"J0101010801","Sin subcategoría","Fideo Spaghetti 500 g","GRANO DE ORO",,"S/  2.80",
"J0101010704","Sin subcategoría","Lenteja Costeño 500 g","COSTENO",,"S/  5.40",